case_id,topic,scenario,court_level,text,decision,is_synthetic
SYN_LAB_0011,labour_rights,illegal_lockout_closure,High Court,Synthetic Case: Industrial unit management instituted sudden site closure without serving 60 days prior statutory notice to the labor commissioner. High Court declared the lockout illegal and awarded full wage continuity during the closure period. Ruling: Rejected.,Rejected,True
SYN_LAB_0012,labour_rights,trade_union_victimization,Supreme Court,Synthetic Case: Union office-bearers were target-transferred to remote sites immediately following the submission of a collective bargaining charter. Supreme Court held the transfers to be unfair labor practice intended to suppress union activities and issued stay orders. Ruling: Partial.,Partial,True
SYN_LAB_0013,labour_rights,apprentice_exploitation,District Court,Synthetic Case: Trainees engaged under apprentice designations were deployed on core production machinery for over 3 years without formal training or stipend adjustment. District Court recognized them as regular workmen entitled to statutory wage scales. Ruling: Accepted.,Accepted,True
SYN_LAB_0014,labour_rights,occupational_health_safety_violation,High Court,"Synthetic Case: Quarry miners exposed to toxic dust petitioned regarding lack of personal protective equipment and regular health check-ups mandated under mines safety regulations. High Court ordered immediate safety compliance, medical monitoring, and compensation for affected workers. Ruling: Rejected.",Rejected,True
SYN_LAB_0015,labour_rights,wrongful_termination,Supreme Court,"Synthetic Case: A primary health worker with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. Supreme Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Partial.",Partial,True
SYN_LAB_0016,labour_rights,unpaid_wages,District Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. District Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Accepted.,Accepted,True
SYN_LAB_0017,labour_rights,casual_labor_regularization,High Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. High Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Rejected.,Rejected,True
SYN_LAB_0018,labour_rights,workplace_injury_compensation,Supreme Court,"Synthetic Case: A primary health worker suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. Supreme Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Partial.",Partial,True
SYN_LAB_0019,labour_rights,pf_gratuity_denial,District Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. District Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Accepted.,Accepted,True
SYN_LAB_0020,labour_rights,maternity_benefit_denial,High Court,Synthetic Case: Contractual female tea garden supervisor was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. High Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Rejected.,Rejected,True
SYN_LAB_0021,labour_rights,minimum_wage_violation,Supreme Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. Supreme Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Partial.",Partial,True
SYN_LAB_0022,labour_rights,contract_vs_permanent_dispute,District Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. District Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Accepted.",Accepted,True
SYN_LAB_0023,labour_rights,migrant_bonded_labor_exploitation,High Court,"Synthetic Case: Inter-state migrant laborers detained at a brick kiln due to alleged advance debt obligations filed for relief under the Bonded Labour System (Abolition) Act. High Court directed immediate release, cancellation of alleged debts, and state rehabilitation assistance. Ruling: Rejected.",Rejected,True
SYN_LAB_0024,labour_rights,overtime_wage_denial,Supreme Court,Synthetic Case: Factory workers required to work 12-hour daily shifts without overtime payment petitioned under factories welfare rules. Supreme Court verified shift logbooks and ordered payment of double-rate statutory overtime wages. Ruling: Partial.,Partial,True
SYN_LAB_0025,labour_rights,illegal_lockout_closure,District Court,Synthetic Case: Industrial unit management instituted sudden site closure without serving 60 days prior statutory notice to the labor commissioner. District Court declared the lockout illegal and awarded full wage continuity during the closure period. Ruling: Accepted.,Accepted,True
SYN_LAB_0026,labour_rights,trade_union_victimization,High Court,Synthetic Case: Union office-bearers were target-transferred to remote sites immediately following the submission of a collective bargaining charter. High Court held the transfers to be unfair labor practice intended to suppress union activities and issued stay orders. Ruling: Rejected.,Rejected,True
SYN_LAB_0027,labour_rights,apprentice_exploitation,Supreme Court,Synthetic Case: Trainees engaged under apprentice designations were deployed on core production machinery for over 3 years without formal training or stipend adjustment. Supreme Court recognized them as regular workmen entitled to statutory wage scales. Ruling: Partial.,Partial,True
SYN_LAB_0028,labour_rights,occupational_health_safety_violation,District Court,"Synthetic Case: Quarry miners exposed to toxic dust petitioned regarding lack of personal protective equipment and regular health check-ups mandated under mines safety regulations. District Court ordered immediate safety compliance, medical monitoring, and compensation for affected workers. Ruling: Accepted.",Accepted,True
SYN_LAB_0029,labour_rights,wrongful_termination,High Court,"Synthetic Case: A electrical maintenance assistant with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. High Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Rejected.",Rejected,True
SYN_LAB_0030,labour_rights,unpaid_wages,Supreme Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. Supreme Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Partial.,Partial,True
SYN_LAB_0031,labour_rights,casual_labor_regularization,District Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. District Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Accepted.,Accepted,True
SYN_LAB_0032,labour_rights,workplace_injury_compensation,High Court,"Synthetic Case: A construction mason suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. High Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Rejected.",Rejected,True
SYN_LAB_0033,labour_rights,pf_gratuity_denial,Supreme Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. Supreme Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Partial.,Partial,True
SYN_LAB_0034,labour_rights,maternity_benefit_denial,District Court,Synthetic Case: Contractual female handloom worker was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. District Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Accepted.,Accepted,True
SYN_LAB_0035,labour_rights,minimum_wage_violation,High Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. High Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Rejected.",Rejected,True
SYN_LAB_0036,labour_rights,contract_vs_permanent_dispute,Supreme Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. Supreme Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Partial.",Partial,True
SYN_LAB_0037,labour_rights,migrant_bonded_labor_exploitation,District Court,"Synthetic Case: Inter-state migrant laborers detained at a brick kiln due to alleged advance debt obligations filed for relief under the Bonded Labour System (Abolition) Act. District Court directed immediate release, cancellation of alleged debts, and state rehabilitation assistance. Ruling: Accepted.",Accepted,True
SYN_LAB_0038,labour_rights,overtime_wage_denial,High Court,Synthetic Case: Factory workers required to work 12-hour daily shifts without overtime payment petitioned under factories welfare rules. High Court verified shift logbooks and ordered payment of double-rate statutory overtime wages. Ruling: Rejected.,Rejected,True
SYN_LAB_0039,labour_rights,illegal_lockout_closure,Supreme Court,Synthetic Case: Industrial unit management instituted sudden site closure without serving 60 days prior statutory notice to the labor commissioner. Supreme Court declared the lockout illegal and awarded full wage continuity during the closure period. Ruling: Partial.,Partial,True
SYN_LAB_0040,labour_rights,trade_union_victimization,District Court,Synthetic Case: Union office-bearers were target-transferred to remote sites immediately following the submission of a collective bargaining charter. District Court held the transfers to be unfair labor practice intended to suppress union activities and issued stay orders. Ruling: Accepted.,Accepted,True
SYN_LAB_0041,labour_rights,apprentice_exploitation,High Court,Synthetic Case: Trainees engaged under apprentice designations were deployed on core production machinery for over 3 years without formal training or stipend adjustment. High Court recognized them as regular workmen entitled to statutory wage scales. Ruling: Rejected.,Rejected,True
SYN_LAB_0042,labour_rights,occupational_health_safety_violation,Supreme Court,"Synthetic Case: Quarry miners exposed to toxic dust petitioned regarding lack of personal protective equipment and regular health check-ups mandated under mines safety regulations. Supreme Court ordered immediate safety compliance, medical monitoring, and compensation for affected workers. Ruling: Partial.",Partial,True
SYN_LAB_0043,labour_rights,wrongful_termination,District Court,"Synthetic Case: A warehouse helper with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. District Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Accepted.",Accepted,True
SYN_LAB_0044,labour_rights,unpaid_wages,High Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. High Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Rejected.,Rejected,True
SYN_LAB_0045,labour_rights,casual_labor_regularization,Supreme Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. Supreme Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Partial.,Partial,True
SYN_LAB_0046,labour_rights,workplace_injury_compensation,District Court,"Synthetic Case: A handloom worker suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. District Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Accepted.",Accepted,True
SYN_LAB_0047,labour_rights,pf_gratuity_denial,High Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. High Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Rejected.,Rejected,True
SYN_LAB_0048,labour_rights,maternity_benefit_denial,Supreme Court,Synthetic Case: Contractual female stone quarry miner was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. Supreme Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Partial.,Partial,True
SYN_LAB_0049,labour_rights,minimum_wage_violation,District Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. District Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Accepted.",Accepted,True
SYN_LAB_0050,labour_rights,contract_vs_permanent_dispute,High Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. High Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Rejected.",Rejected,True
SYN_LAB_0051,labour_rights,migrant_bonded_labor_exploitation,Supreme Court,"Synthetic Case: Inter-state migrant laborers detained at a brick kiln due to alleged advance debt obligations filed for relief under the Bonded Labour System (Abolition) Act. Supreme Court directed immediate release, cancellation of alleged debts, and state rehabilitation assistance. Ruling: Partial.",Partial,True
SYN_LAB_0052,labour_rights,overtime_wage_denial,District Court,Synthetic Case: Factory workers required to work 12-hour daily shifts without overtime payment petitioned under factories welfare rules. District Court verified shift logbooks and ordered payment of double-rate statutory overtime wages. Ruling: Accepted.,Accepted,True
SYN_LAB_0053,labour_rights,illegal_lockout_closure,High Court,Synthetic Case: Industrial unit management instituted sudden site closure without serving 60 days prior statutory notice to the labor commissioner. High Court declared the lockout illegal and awarded full wage continuity during the closure period. Ruling: Rejected.,Rejected,True
SYN_LAB_0054,labour_rights,trade_union_victimization,Supreme Court,Synthetic Case: Union office-bearers were target-transferred to remote sites immediately following the submission of a collective bargaining charter. Supreme Court held the transfers to be unfair labor practice intended to suppress union activities and issued stay orders. Ruling: Partial.,Partial,True
SYN_LAB_0055,labour_rights,apprentice_exploitation,District Court,Synthetic Case: Trainees engaged under apprentice designations were deployed on core production machinery for over 3 years without formal training or stipend adjustment. District Court recognized them as regular workmen entitled to statutory wage scales. Ruling: Accepted.,Accepted,True
SYN_LAB_0056,labour_rights,occupational_health_safety_violation,High Court,"Synthetic Case: Quarry miners exposed to toxic dust petitioned regarding lack of personal protective equipment and regular health check-ups mandated under mines safety regulations. High Court ordered immediate safety compliance, medical monitoring, and compensation for affected workers. Ruling: Rejected.",Rejected,True
SYN_LAB_0057,labour_rights,wrongful_termination,Supreme Court,"Synthetic Case: A garment worker with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. Supreme Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Partial.",Partial,True
SYN_LAB_0058,labour_rights,unpaid_wages,District Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. District Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Accepted.,Accepted,True
SYN_LAB_0059,labour_rights,casual_labor_regularization,High Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. High Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Rejected.,Rejected,True
SYN_LAB_0060,labour_rights,workplace_injury_compensation,Supreme Court,"Synthetic Case: A rice mill operator suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. Supreme Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Partial.",Partial,True
SYN_LAB_0061,labour_rights,pf_gratuity_denial,District Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. District Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Accepted.,Accepted,True
SYN_LAB_0062,labour_rights,maternity_benefit_denial,High Court,Synthetic Case: Contractual female textile weaver was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. High Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Rejected.,Rejected,True
SYN_LAB_0063,labour_rights,minimum_wage_violation,Supreme Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. Supreme Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Partial.",Partial,True
SYN_LAB_0064,labour_rights,contract_vs_permanent_dispute,District Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. District Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Accepted.",Accepted,True
SYN_LAB_0065,labour_rights,migrant_bonded_labor_exploitation,High Court,"Synthetic Case: Inter-state migrant laborers detained at a brick kiln due to alleged advance debt obligations filed for relief under the Bonded Labour System (Abolition) Act. High Court directed immediate release, cancellation of alleged debts, and state rehabilitation assistance. Ruling: Rejected.",Rejected,True
SYN_LAB_0066,labour_rights,overtime_wage_denial,Supreme Court,Synthetic Case: Factory workers required to work 12-hour daily shifts without overtime payment petitioned under factories welfare rules. Supreme Court verified shift logbooks and ordered payment of double-rate statutory overtime wages. Ruling: Partial.,Partial,True
SYN_LAB_0067,labour_rights,illegal_lockout_closure,District Court,Synthetic Case: Industrial unit management instituted sudden site closure without serving 60 days prior statutory notice to the labor commissioner. District Court declared the lockout illegal and awarded full wage continuity during the closure period. Ruling: Accepted.,Accepted,True
SYN_LAB_0068,labour_rights,trade_union_victimization,High Court,Synthetic Case: Union office-bearers were target-transferred to remote sites immediately following the submission of a collective bargaining charter. High Court held the transfers to be unfair labor practice intended to suppress union activities and issued stay orders. Ruling: Rejected.,Rejected,True
SYN_LAB_0069,labour_rights,apprentice_exploitation,Supreme Court,Synthetic Case: Trainees engaged under apprentice designations were deployed on core production machinery for over 3 years without formal training or stipend adjustment. Supreme Court recognized them as regular workmen entitled to statutory wage scales. Ruling: Partial.,Partial,True
SYN_LAB_0070,labour_rights,occupational_health_safety_violation,District Court,"Synthetic Case: Quarry miners exposed to toxic dust petitioned regarding lack of personal protective equipment and regular health check-ups mandated under mines safety regulations. District Court ordered immediate safety compliance, medical monitoring, and compensation for affected workers. Ruling: Accepted.",Accepted,True
SYN_LAB_0071,labour_rights,wrongful_termination,High Court,"Synthetic Case: A sugar mill technician with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. High Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Rejected.",Rejected,True
SYN_LAB_0072,labour_rights,unpaid_wages,Supreme Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. Supreme Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Partial.,Partial,True
SYN_LAB_0073,labour_rights,casual_labor_regularization,District Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. District Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Accepted.,Accepted,True
SYN_LAB_0074,labour_rights,workplace_injury_compensation,High Court,"Synthetic Case: A primary health worker suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. High Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Rejected.",Rejected,True
SYN_LAB_0075,labour_rights,pf_gratuity_denial,Supreme Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. Supreme Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Partial.,Partial,True
SYN_LAB_0076,labour_rights,maternity_benefit_denial,District Court,Synthetic Case: Contractual female plantation laborer was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. District Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Accepted.,Accepted,True
SYN_LAB_0077,labour_rights,minimum_wage_violation,High Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. High Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Rejected.",Rejected,True
SYN_LAB_0078,labour_rights,contract_vs_permanent_dispute,Supreme Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. Supreme Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Partial.",Partial,True
SYN_LAB_0079,labour_rights,migrant_bonded_labor_exploitation,District Court,"Synthetic Case: Inter-state migrant laborers detained at a brick kiln due to alleged advance debt obligations filed for relief under the Bonded Labour System (Abolition) Act. District Court directed immediate release, cancellation of alleged debts, and state rehabilitation assistance. Ruling: Accepted.",Accepted,True
SYN_LAB_0080,labour_rights,overtime_wage_denial,High Court,Synthetic Case: Factory workers required to work 12-hour daily shifts without overtime payment petitioned under factories welfare rules. High Court verified shift logbooks and ordered payment of double-rate statutory overtime wages. Ruling: Rejected.,Rejected,True
SYN_LAB_0081,labour_rights,illegal_lockout_closure,Supreme Court,Synthetic Case: Industrial unit management instituted sudden site closure without serving 60 days prior statutory notice to the labor commissioner. Supreme Court declared the lockout illegal and awarded full wage continuity during the closure period. Ruling: Partial.,Partial,True
SYN_LAB_0082,labour_rights,trade_union_victimization,District Court,Synthetic Case: Union office-bearers were target-transferred to remote sites immediately following the submission of a collective bargaining charter. District Court held the transfers to be unfair labor practice intended to suppress union activities and issued stay orders. Ruling: Accepted.,Accepted,True
SYN_LAB_0083,labour_rights,apprentice_exploitation,High Court,Synthetic Case: Trainees engaged under apprentice designations were deployed on core production machinery for over 3 years without formal training or stipend adjustment. High Court recognized them as regular workmen entitled to statutory wage scales. Ruling: Rejected.,Rejected,True
SYN_LAB_0084,labour_rights,occupational_health_safety_violation,Supreme Court,"Synthetic Case: Quarry miners exposed to toxic dust petitioned regarding lack of personal protective equipment and regular health check-ups mandated under mines safety regulations. Supreme Court ordered immediate safety compliance, medical monitoring, and compensation for affected workers. Ruling: Partial.",Partial,True
SYN_LAB_0085,labour_rights,wrongful_termination,District Court,"Synthetic Case: A handloom worker with continuous service for over 240 days in a calendar year was orally discharged without written notice, prior inquiry, or retrenchment compensation mandated under Section 25F of the Industrial Disputes Act. Management alleged performance issues without holding a domestic inquiry. District Court examined muster rolls and pay slips, holding the termination illegal and directing statutory relief. Ruling: Accepted.",Accepted,True
SYN_LAB_0086,labour_rights,unpaid_wages,High Court,Synthetic Case: Group of rural workers deployed at a processing facility petitioned for 5 months of accrued unpaid wages. The employer claimed financial distress and crop yield loss justified delayed disbursements. High Court affirmed that statutory minimum wage obligations under the Payment of Wages framework cannot be deferred or contingent on commercial profitability. Ruling: Rejected.,Rejected,True
SYN_LAB_0087,labour_rights,casual_labor_regularization,Supreme Court,Synthetic Case: Daily-wage workers engaged continuously for over 8 years against sanctioned public works vacancies sought absorption into regular cadre. State authorities argued the initial recruitment lacked formal selection process. Supreme Court evaluated unbroken service records and directed consideration for regularization under applicable public employment policies. Ruling: Partial.,Partial,True
SYN_LAB_0088,labour_rights,workplace_injury_compensation,District Court,"Synthetic Case: A construction mason suffered severe partial disability due to an unshielded machine unit at a rural plant. Management offered minor ex-gratia assistance while denying statutory liability under the Employee's Compensation Act. District Court evaluated medical disability certificates and loss of earning capacity, ordering full statutory compensation. Ruling: Accepted.",Accepted,True
SYN_LAB_0089,labour_rights,pf_gratuity_denial,High Court,Synthetic Case: Retired seasonal employee denied terminal gratuity benefits on grounds that seasonal employment interrupted continuous service requirements. High Court held that seasonal engagements meeting statutory minimum operational days satisfy the threshold under the Payment of Gratuity Act. Ruling: Rejected.,Rejected,True
SYN_LAB_0090,labour_rights,maternity_benefit_denial,Supreme Court,Synthetic Case: Contractual female textile weaver was denied 26 weeks paid maternity leave and subsequently terminated upon applying for leave. Employer relied on private contract terms excluding statutory maternity benefits. Supreme Court ruled that statutory entitlements under the Maternity Benefit Act override private contractual restrictions. Ruling: Partial.,Partial,True
SYN_LAB_0091,labour_rights,minimum_wage_violation,District Court,"Synthetic Case: Agricultural laborers demonstrated that cash wages paid by a commercial farm were lower than state-notified minimum wage rates, with unnotified deductions made for basic shelter. District Court prohibited unnotified wage deductions and directed back-pay calculation based on official minimum wage notifications. Ruling: Accepted.",Accepted,True
SYN_LAB_0092,labour_rights,contract_vs_permanent_dispute,High Court,"Synthetic Case: Assembly line workers engaged via an intermediary labor contractor performed core operational tasks alongside permanent workers for half pay. High Court found the contract labor arrangement to be a sham mechanism designed to evade equal pay mandates, directing parity in remuneration. Ruling: Rejected.",Rejected,True
